ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
1.281,10.022,1.872,0.255,9.784,0.614,1.026,0.238,1.259,-0.238,-0.621,0.048,7,33.6,-25.5,-12.1,267.9,-86.2,-19.4,3,0
-0.019,7.578,1.973,0.289,9.759,0.926,-0.32,-2.241,0.954,-0.207,-0.19,-0.075,7,32.6,-25.3,-12.7,268.6,-84.7,-19.2,3,0
-0.029,8.552,-0.512,0.104,9.771,0.825,-0.108,-1.209,-1.367,0.288,0.037,-0.082,9,33.2,-25.4,-13.7,277.5,-84.4,-10,3,0
1.238,9.158,0.156,0.275,9.778,0.7,0.977,-0.605,-0.482,-0.018,0.105,0.153,9,32.9,-25.5,-13.2,271.2,-85.6,-17.1,3,0
-0.022,11.157,1.815,0.32,9.788,0.514,-0.342,1.369,1.301,0.175,-0.229,-0.008,3,33.2,-25.4,-12.2,259.3,-86.1,-29.5,3,0
0.998,12.572,-0.359,0.283,9.796,0.36,0.771,2.848,-0.843,-0.007,0.004,-0.012,3,33,-25.9,-13.1,251.4,-86.9,-36.4,3,0
-0.275,10.633,0.903,0.195,9.798,0.368,-0.597,0.909,-0.052,0.16,-0.291,-0.195,3,33.1,-25.6,-12.7,257.7,-87.4,-32,3,0
-0.079,8.306,0.713,0.247,9.78,0.682,-0.273,-1.476,-0.026,-0.341,-0.068,0.09,5,32.6,-26.2,-13.6,269.1,-86.5,-22,3,0
1.065,8.624,-0.297,0.331,9.764,0.853,0.708,-1.07,-1.159,-0.112,-0.17,0.005,5,32.9,-25.9,-13.9,268.6,-84.7,-20.5,3,0
-0.551,9.8,0.165,0.275,9.777,0.707,-0.914,0.193,-0.49,0.263,0.028,-0.121,3,32.8,-24.8,-15.8,269.6,-84.8,-21.9,3,0
0.141,10.69,0.769,0.309,9.787,0.53,-0.172,0.853,0.277,0.306,-0.217,0.043,3,32.8,-25.9,-15.4,267.6,-86.2,-24.3,3,0
0.572,11.756,-0.694,0.323,9.793,0.401,0.294,1.92,-1.22,-0.293,-0.256,-0.144,4,31.6,-25.8,-15,248.2,-87.2,-45,3,0
0.704,10.793,0.721,0.219,9.795,0.413,0.604,1.024,0.032,-0.146,-0.727,-0.005,4,31.7,-25,-15.2,264,-87.3,-29.2,3,0
0.371,9.024,1.152,0.312,9.784,0.581,0.361,-0.701,0.602,-0.062,0.064,-0.018,4,31.1,-23.8,-16.4,266.7,-86.3,-28,3,0
0.486,7.257,0.491,0.484,9.771,0.687,0.05,-2.523,-0.263,0.028,-0.357,0.195,4,30.7,-24.7,-18.2,266.8,-85.6,-28.8,3,0
1.171,8.361,-0.474,0.59,9.772,0.577,0.595,-1.423,-1.01,0.099,0.062,0.088,4,29.5,-25.2,-18.5,254.2,-85.1,-43.4,3,0
0.728,10.827,1.18,0.592,9.778,0.461,0.171,1.147,0.885,0.135,0.367,-0.086,3,29.9,-25.5,-18.2,246.6,-85.5,-51.4,3,0
0.912,13.427,-0.148,0.488,9.791,0.248,0.424,3.636,-0.396,0.136,-0.286,-0.133,3,29.8,-25.6,-17.5,234.6,-86.8,-63.1,3,0
-0.376,10.54,1.69,0.441,9.79,0.357,-0.745,0.69,1.417,0.378,0.158,-0.348,5,30.1,-24.7,-18,247.8,-86.7,-51,3,0
