ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z
-78.0,-28.9,338.5
-76.9,-31.9,336.5
-70.9,-4.7,183.7
-72.3,-2.6,184.5
-72.9,-1.6,187.4
-72.6,-7.0,186.2
-71.8,-9.0,184.9
-74.4,-9.9,181.8
-74.6,-12.3,182.2
-75.6,-16.6,172.3
-74.6,-15.4,171.2
-73.5,-8.3,176.3
-73.4,-5.9,180.1
-74.6,-6.8,181.5
-76.4,-7.2,183.1
-77.8,-8.1,182.1
-77.0,-10.0,181.0
-76.9,-17.5,178.8
-71.7,-7.4,0.9
-73.1,-3.7,3.1
-74.2,-0.2,9.1
-74.6,5.2,13.6
-74.2,6.2,14.6
-74.1,6.8,13.8
-73.1,4.0,10.6
-71.7,5.0,10.4
-72.4,5.0,11.7
-74.0,-0.1,5.8
-74.7,-2.9,5.6
-76.8,-7.0,2.5
-76.1,-11.5,2.1
-76.0,-15.4,2.0
-66.9,-4.9,192.2
-67.2,-5.2,194.1
-68.3,-5.6,194.8
-67.0,-7.5,194.1
-69.0,-6.8,193.6
-69.4,-9.0,189.7
-68.3,-7.6,186.3
-68.5,-5.6,187.4
-69.2,-4.5,188.8
-70.8,-4.7,187.9
-72.4,-8.0,185.5
-73.3,-8.0,187.2
-72.0,-7.9,192.4
-72.6,-6.2,202.4
-72.6,-5.6,201.8
-72.1,-8.0,199.3
-71.8,-9.1,200.1
-75.6,-22.4,350.5
-76.4,-21.6,349.4
-76.6,-21.9,348.9
-77.6,-21.4,349.8
-77.6,-21.0,350.9
-77.0,-21.4,346.6
-76.1,-19.7,347.0
-75.7,-17.2,348.2
-75.9,-16.5,350.4
-75.7,-17.5,350.8
-76.3,-18.5,350.9
-76.2,-20.1,350.6
-76.9,-20.0,355.1
-77.4,-15.5,7.2
-76.0,-15.8,10.2
-72.3,-7.9,190.3
-73.6,-6.4,189.4
-74.1,-5.6,190.0
-73.0,-4.1,191.3
-73.2,-7.6,189.0
-72.9,-10.0,177.8
-72.9,-9.3,178.3
-71.5,-7.4,179.3
-71.5,-6.9,182.0
-72.1,-7.5,181.6
-72.8,-7.7,186.9
-73.5,-8.7,192.2
-73.7,-5.8,192.8
-75.0,-2.1,202.6
-76.0,-1.7,203.6
-76.2,-11.5,1.3
-74.7,-8.3,5.0
-75.1,-4.7,9.0
-74.1,-4.8,5.6
-73.0,-2.4,6.8
-73.2,-2.1,6.8
-73.6,-3.1,7.0
-73.9,-5.9,11.7
-74.1,-7.7,14.5
-74.6,-7.7,17.2
-72.7,-10.3,30.7
-75.8,-16.1,354.6
-77.4,-19.0,351.2
-78.3,-19.9,350.3
-78.4,-20.6,349.5
-78.9,-18.8,350.1
-78.9,-21.0,346.2
-77.0,-17.1,348.6
-76.9,-14.4,353.1
-76.8,-13.8,353.9
-76.5,-15.0,353.9
-76.3,-15.5,356.2
-76.5,-15.9,358.7
-75.8,-15.2,8.1
-75.6,-16.1,10.3
-74.7,-4.8,189.5
-74.1,-4.7,191.3
-73.7,-3.9,189.3
-74.5,-4.2,188.4
-73.0,-5.6,185.1
-72.4,-2.7,187.3
-72.4,-2.1,187.0
-72.5,-4.2,188.0
-75.5,0.5,195.4
-75.8,2.1,199.2
-76.2,-0.2,197.1
-74.1,-6.0,197.6
-73.6,-8.9,197.3
-72.2,-6.6,204.0
-72.8,-5.7,202.1
-72.7,-4.7,201.6
-71.6,-5.7,197.6
-71.6,-7.9,192.9
-75.5,-12.0,355.9
-76.0,-14.3,351.8
-75.7,-14.9,352.6
-74.1,-9.8,355.1
-74.2,-8.7,354.7
-74.1,-7.0,356.6
-74.0,-7.5,356.1
-74.5,-7.3,357.7
-73.8,-6.4,357.3
-71.5,-7.8,354.1
-71.5,-10.7,352.3
-72.5,-14.0,344.1
